epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,220.582,0.91188,0.94921,0.9455,0.99144,0.82353,0.92589,0.60055,1.27507,1.06096,1.09094,0.0011684,0.0011684,0.0011684
44,225.569,0.86486,0.9768,0.95334,0.99553,0.82353,0.95125,0.64251,1.21103,0.92177,1.03448,0.0011486,0.0011486,0.0011486
45,230.523,0.73503,1.2447,0.79972,0.94087,0.93625,0.98889,0.66578,1.16092,0.86617,1.00697,0.0011288,0.0011288,0.0011288
46,235.445,0.78019,0.81693,0.91669,0.94087,0.93625,0.98889,0.66578,1.16092,0.86617,1.00697,0.001109,0.001109,0.001109
47,240.405,0.88574,0.95088,0.94659,0.97511,0.88235,0.94405,0.65194,1.18636,0.843,1.0117,0.0010892,0.0010892,0.0010892
48,245.365,0.89164,0.91519,0.96275,0.99538,0.88235,0.93944,0.62402,1.20645,0.8942,1.02744,0.0010694,0.0010694,0.0010694
49,250.357,0.78518,0.89684,0.92896,1,0.87597,0.93361,0.64118,1.22217,0.88623,1.03826,0.0010496,0.0010496,0.0010496
50,255.308,0.80188,0.83357,0.90346,1,0.87797,0.9698,0.66273,1.17791,0.79788,1.01472,0.0010298,0.0010298,0.0010298
51,260.266,0.79252,0.92247,0.95232,1,0.87551,0.97078,0.64375,1.1565,0.80237,1.01206,0.00101,0.00101,0.00101
52,265.221,0.84226,0.88461,0.95298,0.93871,0.94118,0.97194,0.6452,1.17353,0.81868,1.02173,0.0009902,0.0009902,0.0009902
53,270.209,0.93213,0.87155,1.00773,0.94061,0.93218,0.96803,0.63562,1.23908,0.84423,1.08641,0.0009704,0.0009704,0.0009704
54,275.109,0.70931,0.83751,0.94303,0.94061,0.93218,0.96803,0.63562,1.23908,0.84423,1.08641,0.0009506,0.0009506,0.0009506
55,280.032,0.63286,1.12592,0.80549,0.98916,0.88235,0.96333,0.63769,1.23866,0.86312,1.09168,0.0009308,0.0009308,0.0009308
56,284.982,0.77307,0.77905,0.93071,1,0.88027,0.94911,0.63566,1.2392,0.88197,1.06396,0.000911,0.000911,0.000911
57,289.953,0.79788,0.74163,0.87377,1,0.87733,0.951,0.64269,1.27131,0.85603,1.0272,0.0008912,0.0008912,0.0008912
58,294.892,0.70465,0.73763,0.90584,1,0.87728,0.95102,0.63545,1.26229,0.79842,1.01729,0.0008714,0.0008714,0.0008714
59,299.83,0.74409,0.81496,0.93291,1,0.87716,0.95431,0.66893,1.28883,0.79067,1.04284,0.0008516,0.0008516,0.0008516
60,304.794,0.7693,0.73628,0.91057,1,0.87623,0.97248,0.66159,1.28886,0.78393,1.04665,0.0008318,0.0008318,0.0008318
61,309.758,0.76895,0.73701,0.90012,0.85624,0.94118,0.98044,0.67672,1.25427,0.76504,1.0343,0.000812,0.000812,0.000812
62,314.715,0.77209,0.72651,0.88819,0.85624,0.94118,0.98044,0.67672,1.25427,0.76504,1.0343,0.0007922,0.0007922,0.0007922
63,319.674,0.71503,0.70122,0.90349,0.9427,0.96864,0.99222,0.66472,1.26283,0.76477,1.03601,0.0007724,0.0007724,0.0007724
64,324.632,0.64385,0.73025,0.86292,1,0.93531,0.9875,0.66617,1.25405,0.74257,1.02654,0.0007526,0.0007526,0.0007526
65,329.594,0.67356,0.77303,0.91629,1,0.93402,0.979,0.63097,1.26231,0.73336,1.045,0.0007328,0.0007328,0.0007328
66,334.544,0.73213,0.72548,0.88735,1,0.93656,0.97242,0.6241,1.31703,0.76121,1.07968,0.000713,0.000713,0.000713
67,339.629,0.73372,0.735,0.91691,1,0.93997,0.96861,0.62101,1.36207,0.74811,1.09151,0.0006932,0.0006932,0.0006932
68,344.592,0.72474,0.78629,0.96419,0.99763,0.94118,0.96135,0.62574,1.36759,0.73985,1.08095,0.0006734,0.0006734,0.0006734
69,349.551,0.72322,0.72883,0.86954,0.99626,0.94118,0.98548,0.65787,1.33532,0.7028,1.04293,0.0006536,0.0006536,0.0006536
70,354.484,0.73072,0.72267,0.93457,0.99626,0.94118,0.98548,0.65787,1.33532,0.7028,1.04293,0.0006338,0.0006338,0.0006338
71,359.443,0.76665,0.73889,0.88846,0.9976,0.94118,0.98364,0.66705,1.30603,0.7091,1.0229,0.000614,0.000614,0.000614
72,364.39,0.61043,0.69849,0.8667,0.99789,0.94118,0.98974,0.68182,1.28484,0.7135,1.01296,0.0005942,0.0005942,0.0005942
73,369.338,0.72222,0.76508,0.9299,0.99859,0.94118,0.99222,0.66343,1.26813,0.71279,1.00875,0.0005744,0.0005744,0.0005744
74,374.284,0.63521,0.64997,0.86058,0.99793,0.94118,0.98974,0.67028,1.27718,0.69718,1.01094,0.0005546,0.0005546,0.0005546
75,379.241,0.72685,0.75539,0.9182,0.99648,0.94118,0.98548,0.67481,1.33636,0.70866,1.02691,0.0005348,0.0005348,0.0005348
76,384.171,0.57843,0.9445,0.7892,0.99479,0.94118,0.98042,0.66365,1.35775,0.73071,1.03417,0.000515,0.000515,0.000515
77,389.128,0.67182,0.70435,0.87509,0.99523,0.94118,0.98196,0.66078,1.36021,0.73276,1.03633,0.0004952,0.0004952,0.0004952
78,394.027,0.72179,0.67643,0.91871,0.99523,0.94118,0.98196,0.66078,1.36021,0.73276,1.03633,0.0004754,0.0004754,0.0004754
79,398.964,0.6709,0.65455,0.91208,0.99623,0.94118,0.98364,0.69306,1.32254,0.72097,1.03028,0.0004556,0.0004556,0.0004556
80,403.92,0.56075,0.64349,0.8946,0.99453,0.94118,0.98364,0.69663,1.2872,0.7024,1.03832,0.0004358,0.0004358,0.0004358
